road_user_id,road_user_type,hostname,occurrence,frame_number,section_id,event_coordinate,event_type,direction_vector,video_name,OTCamera,Date,Time
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1094,pedestrian,otcamera29,2023-09-07 17:10:39.973194,12802,,"[217.86973571777344, 538.1775512695312]",leave-scene,"[1.061859130859375, 10.49493408203125]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1095,pedestrian,otcamera29,2023-09-07 17:10:30.974274,12622,,"[189.93515014648438, 4.486545562744141]",leave-scene,"[-0.2763671875, -0.4763374328613281]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1097,pedestrian,otcamera29,2023-09-07 17:10:20.425540,12411,,"[330.5087890625, 564.4309387207031]",leave-scene,"[3.8072967529296875, 11.564849853515625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1098,pedestrian,otcamera29,2023-09-07 17:10:20.725504,12417,,"[463.1867370605469, 356.73069763183594]",leave-scene,"[-8.762969970703125, -2.121856689453125]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1099,delivery_van,otcamera29,2023-09-07 17:10:49.722024,12997,,"[232.35812377929688, 0.0284271240234375]",leave-scene,"[-0.7770309448242188, -0.019690990447998047]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1102,car,otcamera29,2023-09-07 17:10:26.774778,12538,,"[632.6527099609375, 225.649169921875]",leave-scene,"[29.416290283203125, 26.591415405273438]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1104,pedestrian,otcamera29,2023-09-07 17:10:36.623596,12735,,"[190.89891052246094, 19.519859313964844]",leave-scene,"[-0.9020538330078125, -1.201446533203125]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1105,motorcyclist,otcamera29,2023-09-07 17:10:23.575162,12474,,"[245.85832977294922, 93.19564819335938]",leave-scene,"[-0.03021240234375, 0.00146484375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1106,car,otcamera29,2023-09-07 17:10:24.275078,12488,,"[162.3162841796875, 0.19174575805664062]",leave-scene,"[-2.0110244750976562, -0.044525146484375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1109,pedestrian,otcamera29,2023-09-07 17:10:26.274838,12528,,"[169.68960571289062, 4.8351593017578125]",leave-scene,"[2.815643310546875, 1.9435577392578125]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
